timestamp,R,S,T,U,V,W,G,H,I,J,K,L,A,B,C,D,E,F
2025-06-04 13:00:27,96,23,18,12,14,5,139,108,52,21,5,4,9,120,535,242,305,295
2025-06-04 13:00:28,96,23,18,12,14,5,139,108,52,21,5,4,9,120,536,242,305,294
2025-06-04 13:00:29,96,23,18,12,14,5,139,107,52,21,5,4,9,120,535,242,304,295
2025-06-04 13:00:31,96,23,18,12,14,5,139,108,52,21,5,4,9,119,534,242,304,295
2025-06-04 13:00:32,96,23,18,12,14,5,139,107,52,21,5,4,9,120,535,242,304,295
2025-06-04 13:00:33,96,23,18,12,14,5,139,107,52,21,5,4,9,119,535,241,304,294
2025-06-04 13:00:34,96,23,18,12,14,5,139,107,52,21,5,4,9,120,534,241,304,294
2025-06-04 13:00:35,96,23,18,12,14,5,139,108,52,21,5,4,9,120,534,242,304,295
2025-06-04 13:00:36,96,23,18,12,14,5,139,108,52,21,5,4,9,120,537,242,305,296
2025-06-04 13:00:38,97,23,18,12,14,5,140,108,52,21,5,4,9,120,538,243,306,296
2025-06-04 13:00:39,97,23,18,13,14,5,140,108,52,21,5,4,9,121,538,243,306,297
2025-06-04 13:00:40,97,23,18,13,14,5,140,108,52,21,5,4,9,121,538,243,306,296
2025-06-04 13:00:41,97,23,18,13,14,5,140,108,52,21,5,4,9,121,539,244,307,296
2025-06-04 13:00:42,97,23,18,13,14,5,140,108,52,21,5,4,9,121,540,243,307,297
2025-06-04 13:00:43,97,23,18,13,14,5,140,108,52,21,5,4,9,120,537,243,306,297
2025-06-04 13:00:45,97,23,18,13,14,5,140,108,52,21,5,4,9,121,538,243,306,297
2025-06-04 13:00:46,97,23,18,12,14,5,140,108,52,21,5,4,9,120,538,243,306,296
2025-06-04 13:00:47,97,23,18,12,14,5,140,108,52,21,5,4,9,120,537,243,306,296
2025-06-04 13:00:48,97,23,18,12,14,5,140,108,52,21,5,4,9,120,536,243,305,296
2025-06-04 13:00:49,96,23,18,12,14,5,139,108,52,21,5,4,9,120,537,242,305,296
2025-06-04 13:00:50,96,23,18,12,14,5,139,108,52,21,5,4,9,120,536,242,305,295
2025-06-04 13:00:52,96,23,18,12,14,5,139,108,52,21,5,4,9,120,536,242,305,295
2025-06-04 13:00:53,96,23,18,12,14,5,139,107,52,21,5,4,9,120,534,242,304,295
2025-06-04 13:00:54,96,23,18,12,14,5,139,107,52,21,5,4,9,119,534,241,304,293
2025-06-04 13:00:55,96,23,18,12,14,5,139,107,52,21,5,4,9,120,535,242,304,295
2025-06-04 13:00:56,96,23,18,12,14,5,139,108,52,21,5,4,9,120,534,242,304,295
2025-06-04 13:00:58,96,23,18,12,14,5,139,108,52,21,5,4,9,120,536,242,305,295
2025-06-04 13:00:59,96,23,18,12,14,5,139,108,52,21,5,4,9,120,536,242,305,295
2025-06-04 13:01:00,96,23,18,12,14,5,139,108,52,21,5,4,9,120,536,242,305,296
2025-06-04 13:01:01,97,23,18,12,14,5,140,108,52,21,5,4,9,120,536,243,305,296
2025-06-04 13:01:02,97,23,18,13,14,5,140,108,52,21,5,4,9,120,537,243,306,296
2025-06-04 13:01:03,96,23,18,12,14,5,139,108,52,21,5,4,9,120,537,242,306,296
